exp_id,timestamp,operator_id,gender,age,job,job_other,experience,product,task_clarity,sequence_intuitive,perceived_difficulty,perceived_time,perceived_difficulty_what,perceived_effort,comfortable,fatigue,fatigue_when,danger,danger_when,instruments,fluidity,instruments_what,rating,pros,cons,comments_overall,time,setup,robot_facilitated,robot_natural_interaction,robot_obstacle,robot_obstacle_when,robot_velocity,robot_collision,robot_collision_when,safety_effective,robot_trajectory,system_feedback,comments_system,reduced_robot_downtime,robot_timely,interaction_fluidity,efficiency,gui_simple,safety
lego_76,3/3/2026 12:04:16,76,M,A,Student,,3_Advanced,LEGO Train,5,,,3_Too long,,,,,,,,,,,4,"Il non dover cercare i pezzi, ma trovare sempre il pezzo giusto portato dal robot",La velocità di riconoscimento dello stato attuale dell'assemblaggio in modo da ridurre i tempi di attesa del pezzo successivo,,330.2484698487091,Robot,4.0,4.0,No,,2_Adequate,Never,,4.0,5.0,Yes,,"Yes, slightly",5.0,4.0,,5.0,5.0
lego_79,3/4/2026 16:02:23,79,F,B,Other,assegnista,None,LEGO Train,4,,,2_Adequate,,,,,,,,,,,4,il non dover selezionare la componente da assemblare,velocità del robot,,350.84272620368955,Robot,5.0,5.0,No,,3_Too long,Never,,5.0,5.0,Yes,,No,5.0,5.0,,5.0,5.0
lego_80,3/4/2026 16:26:25,80,F,C,Researcher,,None,LEGO Train,5,,,3_Too long,,,,,,,,,,,4,Andava a recuperate i blocchi senza che io li cercassi (anche se sarebbero stati semplici da trovare),"Il feedback dell'interfaccia grafica quando il robot sta ""pensando"" a qual'è la prossima mossa",,377.09585396316527,Robot,2.0,5.0,No,,2_Adequate,Never,,5.0,5.0,No,"Non si capiva se il sistema aveva registrato la pressione del tasto ""Invio"". C'erano dei lunghi momenti in cui non succedeva niente.",No,5.0,3.0,,4.0,5.0
lego_81,3/10/2026 15:57:28,81,M,A,Student,,None,LEGO Train,5,,,2_Adequate,,,,,,,,,,,5,Il fatto che rende l'assemblaggio di componenti nell'ordine corretto senza dover pensare a quale pezzo dover inserire dopo,I tempi di risposta del robot per l'identificazione del prossimo pezzo da inserire tramite la fotocamera,,445.0548469502258,Robot,3.0,5.0,No,,3_Too long,Never,,4.0,5.0,Yes,,"Yes, slightly",5.0,4.0,,5.0,5.0
lego_82,3/10/2026 16:10:29,82,M,A,Student,,None,LEGO Train,5,,,2_Adequate,,,,,,,,,,,5,facilità nell'assemblaggio,il tempo per riconoscere la fase di assemblaggio dell'oggetto con le fotocamere,,454.2478686405945,Robot,5.0,5.0,No,,2_Adequate,Never,,5.0,5.0,Yes,,"Yes, slightly",5.0,4.0,,5.0,5.0
lego_83,3/10/2026 16:42:48,83,M,C,Researcher,,1_Basic,LEGO Train,5,,,3_Too long,,,,,,,,,,,4,prendere i pezzi giusti in sequenza,velocità del braccio robotico,,415.5809419359589,Robot,4.0,4.0,No,,2_Adequate,Sometimes,Quando appoggiava gli oggetti e io dovevo prenderli in mano,5.0,5.0,Yes,,"Yes, significantly",5.0,5.0,,4.0,5.0
lego_84,3/10/2026 16:56:40,84,F,B,Researcher,,None,LEGO Train,4,,,3_Too long,,,,,,,,,,,4,,,,441.9240705023956,Robot,2.0,4.0,No,,2_Adequate,Never,,5.0,5.0,Yes,,,4.0,4.0,,5.0,5.0
car_85,3/10/2026 17:20:47,85,M,A,Student,,None,Racing Car,5,,,2_Adequate,,,,,,,,,,,5,l'assemblaggio guidato permette di non dover pensare a quale pezzo dover montare successivamente avendo già il prossimo pezzo pronto,La velocità con cui il robot capisce quale pezzo passare basandosi sull'assemblaggio,,326.77752055351255,Robot,4.0,5.0,No,,2_Adequate,Never,,5.0,5.0,Yes,,"Yes, slightly",5.0,4.0,,5.0,5.0
lego_86,3/10/2026 17:59:02,86,M,E,Researcher,,None,LEGO Train,5,,,3_Too long,,,,,,,,,,,5,,Si potrebbe far sì che il primo pezzo venisse sistemato direttamente dal robot nell'area di assembly,,438.5481908150482,Robot,3.0,4.0,No,,3_Too long,Never,,5.0,4.0,Yes,,I don't know,4.0,4.0,,5.0,5.0
car_55,3/19/2026 15:18:18,55,M,A,Student,,1_Basic,Racing Car,5,,,3_Too long,,,,,,,,,,,4,the movement needed to assemble the car was not demanding,Speed of the robot ,,328.3001215603638,Robot,4.0,3.0,No,,3_Too long,Never,,3.0,5.0,Yes,,"Yes, slightly",5.0,3.0,,5.0,5.0
car_56,3/22/2026 23:17:17,56,M,A,Student,,1_Basic,Racing Car,5,,,3_Too long,,,,,,,,,,,5,"The most helpful aspect of the robotic assistance was that it allowed us to focus solely on assembly rather than searching for specific components. Another positive aspect of the robotic assistance was that the robot handled the car’s assembly plan, and the operator knew exactly what to do step by step.","One thing I would improve is the processing time to make it faster, shorten the approval time for subsequent work stages, or possibly switch to a fully automated work stage approval system. This would result in a faster and more efficient human-robot collaboration system. ","Working with the robot was very straightforward and easy to understand. The system itself is certainly very useful; the only thing I would improve is to make the entire collaboration between humans and robots happen automatically, without the need to approve each step, or perhaps reduce the number of steps requiring approval so that the collaboration can proceed more quickly and be more efficient. ",278.75042384910586,Robot,4.0,4.0,No,,3_Too long,Never,,5.0,5.0,Yes,,"Yes, slightly",4.0,4.0,,5.0,5.0
car_58,3/25/2026 13:22:40,58,M,A,Student,,None,Racing Car,5,,,2_Adequate,,,,,,,,,,,3,,,,220.6787754335022,Robot,3.0,3.0,No,,2_Adequate,Never,,3.0,4.0,Yes,,I don't know,3.0,1.0,,4.0,4.0
car_59,4/10/2026 14:23:32,59,M,C,Researcher,,1_Basic,Racing Car,5,,,2_Adequate,,,,,,,,,,,5,,,,225.7963924420929,Robot,5.0,5.0,No,,2_Adequate,Never,,5.0,5.0,Yes,,"Yes, slightly",5.0,5.0,,5.0,5.0
car_57,4/16/2026 12:52:26,57,M,B,Student,,None,Racing Car,5,,,2_Adequate,,,,,,,,,,,5,,,,255.0799277754212,Robot,4.0,5.0,No,,2_Adequate,Never,,5.0,5.0,Yes,,"Yes, slightly",5.0,5.0,,5.0,5.0
